observableId	simulationConditionId	time	measurement	noiseParameters
obs_total_pS1	cond_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_01	10.0	0.09534756629347702	sigma_pSTAT1
obs_total_pS1	cond_il10_01	20.0	0.018154270946213594	sigma_pSTAT1
obs_total_pS1	cond_il10_01	30.0	0.04960938760337813	sigma_pSTAT1
obs_total_pS1	cond_il10_01	45.0	0.02140822130924737	sigma_pSTAT1
obs_total_pS1	cond_il10_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_01	90.0	0.0	sigma_pSTAT1
obs_total_pS3	cond_il10_01	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il10_01	10.0	0.24912907302046758	sigma_pSTAT3
obs_total_pS3	cond_il10_01	20.0	0.10136453921418412	sigma_pSTAT3
obs_total_pS3	cond_il10_01	30.0	0.0985141076492283	sigma_pSTAT3
obs_total_pS3	cond_il10_01	45.0	0.17220059455161743	sigma_pSTAT3
obs_total_pS3	cond_il10_01	60.0	0.1747161468396658	sigma_pSTAT3
obs_total_pS3	cond_il10_01	90.0	0.25256276601113453	sigma_pSTAT3
obs_total_pS1	cond_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_1	10.0	0.07796161659499046	sigma_pSTAT1
obs_total_pS1	cond_il10_1	20.0	0.09383645437802271	sigma_pSTAT1
obs_total_pS1	cond_il10_1	30.0	0.0977640000622792	sigma_pSTAT1
obs_total_pS1	cond_il10_1	45.0	0.12101560315332091	sigma_pSTAT1
obs_total_pS1	cond_il10_1	60.0	0.08211673542773179	sigma_pSTAT1
obs_total_pS1	cond_il10_1	90.0	0.06695776763807024	sigma_pSTAT1
obs_total_pS3	cond_il10_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il10_1	10.0	0.4896163638305561	sigma_pSTAT3
obs_total_pS3	cond_il10_1	20.0	0.7295556273206346	sigma_pSTAT3
obs_total_pS3	cond_il10_1	30.0	0.6840623662583718	sigma_pSTAT3
obs_total_pS3	cond_il10_1	45.0	0.6275099021159483	sigma_pSTAT3
obs_total_pS3	cond_il10_1	60.0	0.5438302022993944	sigma_pSTAT3
obs_total_pS3	cond_il10_1	90.0	0.6470357833979248	sigma_pSTAT3
obs_total_pS1	cond_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il10_10	10.0	0.19845957632963676	sigma_pSTAT1
obs_total_pS1	cond_il10_10	20.0	0.40998918450492283	sigma_pSTAT1
obs_total_pS1	cond_il10_10	30.0	0.37033173060938773	sigma_pSTAT1
obs_total_pS1	cond_il10_10	45.0	0.18636673498078982	sigma_pSTAT1
obs_total_pS1	cond_il10_10	60.0	0.09105309872533746	sigma_pSTAT1
obs_total_pS1	cond_il10_10	90.0	0.03493691630242684	sigma_pSTAT1
obs_total_pS3	cond_il10_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il10_10	10.0	1.1122004419886913	sigma_pSTAT3
obs_total_pS3	cond_il10_10	20.0	1.2591867062986717	sigma_pSTAT3
obs_total_pS3	cond_il10_10	30.0	1.0737077808663578	sigma_pSTAT3
obs_total_pS3	cond_il10_10	45.0	0.7486680703899142	sigma_pSTAT3
obs_total_pS3	cond_il10_10	60.0	0.48766185481344615	sigma_pSTAT3
obs_total_pS3	cond_il10_10	90.0	0.426320793517933	sigma_pSTAT3
obs_total_pS1	cond_il6_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01	10.0	0.01952607397069935	sigma_pSTAT1
obs_total_pS1	cond_il6_01	20.0	0.06283446445011777	sigma_pSTAT1
obs_total_pS1	cond_il6_01	30.0	0.04909925694866011	sigma_pSTAT1
obs_total_pS1	cond_il6_01	45.0	0.044997126516029905	sigma_pSTAT1
obs_total_pS1	cond_il6_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01	90.0	0.0026359364934340273	sigma_pSTAT1
obs_total_pS3	cond_il6_01	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_01	10.0	0.029086053287449294	sigma_pSTAT3
obs_total_pS3	cond_il6_01	20.0	0.17928031147942958	sigma_pSTAT3
obs_total_pS3	cond_il6_01	30.0	0.2462628340794168	sigma_pSTAT3
obs_total_pS3	cond_il6_01	45.0	0.13235579547001955	sigma_pSTAT3
obs_total_pS3	cond_il6_01	60.0	0.15921468621739263	sigma_pSTAT3
obs_total_pS3	cond_il6_01	90.0	0.163567128804886	sigma_pSTAT3
obs_total_pS1	cond_il6_01_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	10.0	0.03824890640779188	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	20.0	0.029481276802782203	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	30.0	0.09234083086878045	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	45.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_01	90.0	0.0	sigma_pSTAT1
obs_total_pS3	cond_il6_01_il10_01	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	10.0	0.17511769738964403	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	20.0	0.4209088363356916	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	30.0	0.4962603706122538	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	45.0	0.45204387265541723	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	60.0	0.5020251075601597	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_01	90.0	0.40438087416877505	sigma_pSTAT3
obs_total_pS1	cond_il6_01_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	10.0	0.04046356629479688	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	20.0	0.05942108314455097	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	30.0	0.1898382774816377	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	45.0	0.06635192215503814	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_1	90.0	0.16958325239220182	sigma_pSTAT1
obs_total_pS3	cond_il6_01_il10_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_1	10.0	0.6845430636104347	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_1	20.0	1.362991700745949	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_1	30.0	1.900180607205338	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_1	45.0	1.2230923250648011	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_1	60.0	1.1911867055227803	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_1	90.0	1.3551209163078055	sigma_pSTAT3
obs_total_pS1	cond_il6_01_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	10.0	0.2108045959740785	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	20.0	0.28856474103687024	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	30.0	0.39710808847783596	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	45.0	0.07212072851714493	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	60.0	0.023559121259042626	sigma_pSTAT1
obs_total_pS1	cond_il6_01_il10_10	90.0	0.0	sigma_pSTAT1
obs_total_pS3	cond_il6_01_il10_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_10	10.0	2.5465979507345478	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_10	20.0	2.614899198473562	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_10	30.0	2.6702651743782186	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_10	45.0	1.6683728967928515	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_10	60.0	1.3080857956887288	sigma_pSTAT3
obs_total_pS3	cond_il6_01_il10_10	90.0	0.8753974132678649	sigma_pSTAT3
obs_total_pS1	cond_il6_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1	10.0	0.11402294420506322	sigma_pSTAT1
obs_total_pS1	cond_il6_1	20.0	0.2128129949261296	sigma_pSTAT1
obs_total_pS1	cond_il6_1	30.0	0.1893909020058455	sigma_pSTAT1
obs_total_pS1	cond_il6_1	45.0	0.08004934318818868	sigma_pSTAT1
obs_total_pS1	cond_il6_1	60.0	0.024051095780374003	sigma_pSTAT1
obs_total_pS1	cond_il6_1	90.0	0.05475605398293226	sigma_pSTAT1
obs_total_pS3	cond_il6_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_1	10.0	0.2504106809493243	sigma_pSTAT3
obs_total_pS3	cond_il6_1	20.0	0.5568207565727658	sigma_pSTAT3
obs_total_pS3	cond_il6_1	30.0	0.5705674911373554	sigma_pSTAT3
obs_total_pS3	cond_il6_1	45.0	0.32245977155480937	sigma_pSTAT3
obs_total_pS3	cond_il6_1	60.0	0.1814957468553489	sigma_pSTAT3
obs_total_pS3	cond_il6_1	90.0	0.19163191618533007	sigma_pSTAT3
obs_total_pS1	cond_il6_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10	10.0	0.5026496072826092	sigma_pSTAT1
obs_total_pS1	cond_il6_10	20.0	1.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10	30.0	0.7001112005005983	sigma_pSTAT1
obs_total_pS1	cond_il6_10	45.0	0.2612162820842919	sigma_pSTAT1
obs_total_pS1	cond_il6_10	60.0	0.13685730283183287	sigma_pSTAT1
obs_total_pS1	cond_il6_10	90.0	0.05968736595571645	sigma_pSTAT1
obs_total_pS3	cond_il6_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_10	10.0	0.7696589089427549	sigma_pSTAT3
obs_total_pS3	cond_il6_10	20.0	1.0	sigma_pSTAT3
obs_total_pS3	cond_il6_10	30.0	0.8030298259176926	sigma_pSTAT3
obs_total_pS3	cond_il6_10	45.0	0.40710162077191553	sigma_pSTAT3
obs_total_pS3	cond_il6_10	60.0	0.24143667313201958	sigma_pSTAT3
obs_total_pS3	cond_il6_10	90.0	0.20671146672434523	sigma_pSTAT3
obs_total_pS1	cond_il6_10_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	10.0	0.5644645873715293	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	20.0	0.8090585507832251	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	30.0	0.44878282331999303	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	45.0	0.12281889496357425	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	60.0	0.06193021900134299	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_01	90.0	0.09215249602275713	sigma_pSTAT1
obs_total_pS3	cond_il6_10_il10_01	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_01	10.0	2.002698056062238	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_01	20.0	2.6159989327749402	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_01	30.0	1.7874677855512122	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_01	45.0	0.7795914553867552	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_01	60.0	0.4890960607865654	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_01	90.0	0.9325662175215104	sigma_pSTAT3
obs_total_pS1	cond_il6_10_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	10.0	0.724814448711695	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	20.0	1.087220047375557	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	30.0	0.7018984291268251	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	45.0	0.275507413861674	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	60.0	0.15129630495164526	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_1	90.0	0.051653619171564996	sigma_pSTAT1
obs_total_pS3	cond_il6_10_il10_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_1	10.0	2.179161043006812	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_1	20.0	2.132994802887981	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_1	30.0	1.8034406491373944	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_1	45.0	1.3858778876378783	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_1	60.0	1.2299749639754964	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_1	90.0	1.3439839336825892	sigma_pSTAT3
obs_total_pS1	cond_il6_10_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	10.0	0.8043025476178782	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	20.0	1.5050814344548815	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	30.0	0.9399883081550754	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	45.0	0.38843060200396873	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	60.0	0.1636646333728254	sigma_pSTAT1
obs_total_pS1	cond_il6_10_il10_10	90.0	0.10367376753250221	sigma_pSTAT1
obs_total_pS3	cond_il6_10_il10_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	10.0	1.4056857531971882	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	20.0	1.5280448328474714	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	30.0	1.3309601224392158	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	45.0	0.908757144993704	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	60.0	0.6910948196239691	sigma_pSTAT3
obs_total_pS3	cond_il6_10_il10_10	90.0	0.8374168276425613	sigma_pSTAT3
obs_total_pS1	cond_il6_1_il10_01	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	10.0	0.11254219057368617	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	20.0	0.1886381723712021	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	30.0	0.22708867758525805	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	45.0	0.03233177395914734	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	60.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_01	90.0	0.0	sigma_pSTAT1
obs_total_pS3	cond_il6_1_il10_01	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_01	10.0	0.8995015027674793	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_01	20.0	1.8083684310272523	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_01	30.0	1.7426218054850362	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_01	45.0	0.701562864259712	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_01	60.0	0.6438452348591789	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_01	90.0	0.8979650776780866	sigma_pSTAT3
obs_total_pS1	cond_il6_1_il10_1	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	10.0	0.18399504372946585	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	20.0	0.35212903019489833	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	30.0	0.30091376970064804	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	45.0	0.08185322770140446	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	60.0	0.06965539297814922	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_1	90.0	0.045836673439883506	sigma_pSTAT1
obs_total_pS3	cond_il6_1_il10_1	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	10.0	0.8226641179701072	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	20.0	1.2766888568505108	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	30.0	1.2150497449498252	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	45.0	0.6818688560733773	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	60.0	0.6538750214154172	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_1	90.0	0.6644342675749494	sigma_pSTAT3
obs_total_pS1	cond_il6_1_il10_10	0.0	0.0	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	10.0	0.5319088507596341	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	20.0	0.7324443360989771	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	30.0	0.7197237149662722	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	45.0	0.19052468743258122	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	60.0	0.09847802955885228	sigma_pSTAT1
obs_total_pS1	cond_il6_1_il10_10	90.0	0.05186252975971058	sigma_pSTAT1
obs_total_pS3	cond_il6_1_il10_10	0.0	0.0	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_10	10.0	2.899269989724657	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_10	20.0	2.6776067255613474	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_10	30.0	2.1774177325827266	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_10	45.0	1.4270926612949022	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_10	60.0	1.329167237547356	sigma_pSTAT3
obs_total_pS3	cond_il6_1_il10_10	90.0	0.8731054545361971	sigma_pSTAT3
